,bug描述,bug图片,人员,日期,预期正确的值,是否已完成,开发情况说明
购物流程-备件,,,,,,□,
,可选国家缺失,,谭文佳 Tan Wenjia,2025年6月14日,,□,
,创建的纽约订单无显示,,谭文佳 Tan Wenjia,2025年6月14日,,□,
,po页面字段名称错误、productid字段缺失,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,名称错误,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,所有的po  excel 数据错乱,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,po 字段与前台描述不符,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,po 字段显示中英文混乱,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,净重字段在气泡里，lbs单位改成lb,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,字段名称错误,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,字段名称错误,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,字段名称错误,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,字段多余,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,字段重复,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,英文字段描述错误，请参考表单属性综合,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,英文字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,字段描述要全英文，现在是英文界面,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,,,,,,□,
,所有的productid 数据缺失,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,缺少spec.、适用机型,,谭文佳 Tan Wenjia,2025年6月16日,,□,
,所有产品都缺少气泡,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,充气膜po确认页面：缺少适用机型、泡径、,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,充气膜po确认页面只有以下数据，请把多余的删除：,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,请把名称根据这个表格调整正确,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,与前端po界面数据保持一致，包括中英文，字段描述,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,,,,,,□,
购物流程-备件,缺少字段,,谭文佳 Tan Wenjia,2025年6月17日,二期统一按照目前版本实现,□,表格新增字段，和早期不一致
购物流程-备件,字段缺失,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,英文字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,中英文错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段缺失,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段缺失,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段重复且描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,英文字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,英文字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,数据错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,中英文混合,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,数据缺失,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,excel问题汇总在图片上,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
购物流程-备件,数据错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
,,,,,,□,
